grant_id,title,publicurl
kantor-sample,"Obesity, Chemotherapy Dosing, and Breast Cancer Outcomes",https://epi.grants.cancer.gov/funding/kantor-sample.pdf
prizment-sample,Immune-Regulating Mhc Class I-Like Proteins and Colorectal Cancer Risk,https://epi.grants.cancer.gov/funding/prizment-sample.pdf
strickler-sample,Next Generation of HPV and Cervical Cancer Research in Hiv+ Women,https://epi.grants.cancer.gov/funding/strickler-sample.pdf
sun-sample,Estimation and Association Analysis of Biomarkers for Tumor Immune Microenvironment,https://epi.grants.cancer.gov/funding/sun-sample.pdf
1-R01-AI121500-01A1_Gordon_Application,"Assessing the roles of biofilm structure and mechanics in pathogenic, persistent infections",https://www.niaid.nih.gov/sites/default/files/1-R01-AI121500-01A1_Gordon_Application.pdf
2-R01-AI098472-06_Gandhi_Application,"Hair Extensions: Using Hair Levels to Interpret Adherence, Effectiveness and Pharmacokinetics with Real-World Oral PrEP, the Vaginal Ring, and Injectables",https://www.niaid.nih.gov/sites/default/files/2-R01-AI098472-06_Gandhi_Application.pdf
2-R01-AI042783-16A1_Muir_Application,Peptide Autoinducers of Staphylococcal Pathogenicity,https://www.niaid.nih.gov/sites/default/files/2-R01-AI042783-16A1_Muir_Application.pdf
R01-Faubion-app,Inflammatory cascades disrupt Treg function through epigenetic mechanisms,https://www.niaid.nih.gov/sites/default/files/R01-Faubion-app.pdf
R01_Li_Sample_Application,Enhance AAV Liver Transduction with Capsid Immune Evasion,https://www.niaid.nih.gov/sites/default/files/R01_Li_Sample_Application.pdf
1r43ai106145-01a1_galarza,Broadly protective (universal) virus-like particle (VLP) based influenza vaccine,https://www.niaid.nih.gov/sites/default/files/1r43ai106145-01a1_galarza.pdf
mccunefull,Human immune system layering and the neonatal response to vaccines,https://www.niaid.nih.gov/sites/default/files//mccunefull.pdf
R44-Liu-Application,Experimental Gonococcal Vaccine,https://www.niaid.nih.gov/sites/default/files/R44-Liu-Application.pdf
R43-Brooks-Application,"High-throughput, multiplexed characterization and modeling of antibody:antigen binding, with application to HSV",https://www.niaid.nih.gov/sites/default/files//R43-Brooks-Application.pdf
